,r1_f1,r2_f1,rL_f1
0,0.3092783505154639,0.052083333333333336,0.16494845360824742
1,0.18264840182648404,0.027649769585253454,0.1278538812785388
2,0.32653061224489793,0.0,0.1836734693877551
3,0.2099447513812155,0.0446927374301676,0.13259668508287292
4,0.28085106382978725,0.12017167381974247,0.16170212765957445
5,0.20606060606060606,0.024539877300613498,0.08484848484848487
6,0.16901408450704225,0.0,0.11267605633802817
7,0.19672131147540983,0.0,0.16393442622950818
8,0.3267326732673267,0.18000000000000002,0.25742574257425743
9,0.24309392265193366,0.0782122905027933,0.15469613259668508
10,0.24369747899159663,0.04237288135593221,0.11764705882352941
11,0.25882352941176473,0.10714285714285714,0.18823529411764706
12,0.30379746835443033,0.10256410256410255,0.15189873417721517
13,0.36111111111111116,0.11267605633802816,0.12500000000000003
14,0.1434977578475336,0.08144796380090498,0.13452914798206278
15,0.23853211009174313,0.03738317757009345,0.12844036697247707
16,0.37735849056603776,0.14012738853503184,0.16352201257861637
17,0.15254237288135594,0.05113636363636364,0.10169491525423728
18,0.07608695652173914,0.03296703296703297,0.03260869565217391
19,0.31007751937984496,0.22047244094488191,0.21705426356589147
20,0.17543859649122806,0.04424778761061947,0.13157894736842105
21,0.23913043478260873,0.08791208791208792,0.13043478260869565
22,0.2893081761006289,0.15286624203821655,0.18867924528301885
23,0.17751479289940827,0.09580838323353294,0.11834319526627218
24,0.24390243902439027,0.025,0.17073170731707318
25,0.3727598566308244,0.21660649819494585,0.2437275985663082
26,0.09467455621301775,0.0,0.07100591715976332
27,0.1806853582554517,0.08150470219435736,0.11214953271028036
28,0.39416058394160586,0.05925925925925926,0.24817518248175183
29,0.03428571428571429,0.0,0.03428571428571429
30,0.21875,0.07936507936507936,0.171875
31,0.2162162162162162,0.015564202334630349,0.12355212355212356
32,0.13740458015267176,0.0310077519379845,0.07633587786259541
33,0.2482758620689655,0.08391608391608392,0.15172413793103448
34,0.20338983050847456,0.13793103448275862,0.13559322033898302
35,0.20253164556962022,0.0,0.12658227848101267
36,0.4406779661016949,0.1206896551724138,0.22033898305084745
37,0.23529411764705885,0.0,0.15686274509803924
38,0.3095238095238095,0.07317073170731707,0.19047619047619047
39,0.24489795918367346,0.15463917525773194,0.18367346938775508
40,0.1846153846153846,0.08290155440414508,0.15384615384615383
41,0.2268041237113402,0.0631578947368421,0.14432989690721648
42,0.15151515151515152,0.0,0.09090909090909091
43,0.08974358974358973,0.051948051948051945,0.07692307692307693
44,0.16071428571428573,0.05454545454545455,0.14285714285714282
45,0.2564102564102564,0.14507772020725387,0.22564102564102564
46,0.2784810126582279,0.07692307692307693,0.16455696202531644
47,0.19999999999999998,0.05797101449275361,0.15714285714285714
48,0.23076923076923075,0.0,0.15384615384615383
49,0.14705882352941177,0.05970149253731343,0.11764705882352941
50,0.2429906542056075,0.13333333333333333,0.20560747663551404
51,0.31460674157303375,0.11494252873563218,0.1797752808988764
52,0.20869565217391303,0.05309734513274336,0.1391304347826087
53,0.07619047619047618,0.009615384615384616,0.05714285714285715
54,0.2378854625550661,0.08888888888888888,0.15859030837004406
55,0.25242718446601947,0.09900990099009901,0.1941747572815534
56,0.05,0.0,0.03571428571428571
57,0.28813559322033894,0.08620689655172414,0.23728813559322032
58,0.384180790960452,0.15999999999999998,0.192090395480226
59,0.1793103448275862,0.04195804195804195,0.12413793103448277
60,0.12030075187969924,0.0,0.10526315789473685
61,0.2956521739130435,0.05309734513274336,0.19130434782608696
62,0.19047619047619047,0.04807692307692307,0.13333333333333333
63,0.15714285714285714,0.014492753623188406,0.08571428571428572
64,0.3409090909090909,0.13953488372093026,0.2727272727272727
65,0.38596491228070173,0.23668639053254434,0.2456140350877193
66,0.24539877300613502,0.08695652173913045,0.147239263803681
67,0.36764705882352944,0.16417910447761194,0.20588235294117646
68,0.15135135135135136,0.04371584699453551,0.1081081081081081
69,0.29457364341085274,0.14173228346456693,0.2635658914728682
70,0.22429906542056072,0.0849056603773585,0.16822429906542055
71,0.2300884955752212,0.018018018018018018,0.17699115044247787
72,0.04597701149425287,0.0,0.022988505747126436
73,0.33620689655172414,0.17391304347826086,0.20689655172413796
74,0.11538461538461539,0.0392156862745098,0.11538461538461539
75,0.21374045801526717,0.015503875968992248,0.13740458015267176
76,0.27522935779816515,0.037383177570093455,0.20183486238532108
77,0.4,0.17204301075268816,0.16842105263157894
78,0.3006535947712418,0.06622516556291391,0.18300653594771243
79,0.2280701754385965,0.07142857142857144,0.15789473684210525
80,0.2834645669291339,0.112,0.2204724409448819
81,0.30882352941176466,0.17910447761194026,0.2205882352941176
82,0.25,0.03636363636363636,0.16071428571428573
83,0.2647058823529412,0.13432835820895522,0.20588235294117646
84,0.3114754098360656,0.15,0.2786885245901639
85,0.27631578947368424,0.05333333333333333,0.18421052631578946
86,0.28125,0.07936507936507936,0.18750000000000003
87,0.325,0.07692307692307691,0.225
88,0.2037735849056604,0.0532319391634981,0.15849056603773584
89,0.21428571428571427,0.0,0.125
